title,scoiety,price,area,when ready,link
"2 BHK Apartment for Sale in Agarwal Paramount, Virar West Mumbai",none,Rs 50 Lac ,498 sqft,New Property,https://www.magicbricks.com/agarwal-paramount-virar-west-mumbai-pdpid-4d4235313236353533
"2 BHK Apartment for Sale in Aleen Heights, Nalasopara West Mumbai",none,Rs 41.9 Lac ,563 sqft,Nov '26,https://www.magicbricks.com/aleen-heights-nalasopara-west-mumbai-pdpid-4d4235333234353033
"2 BHK Apartment for Sale in Kalpataru Srishti Namaah, Mira Road Area Mumbai",none,Rs 1.50 Cr ,738 sqft,Dec '27,https://www.magicbricks.com/kalpataru-srishti-namaah-mira-road-mumbai-pdpid-4d4235333239303535
"2 BHK Apartment for Sale in Sayba Samriddhi, Chembur East Mumbai",none,Rs 1.37 Cr ,585 sqft,Jun '27,https://www.magicbricks.com/sayba-samriddhi-chembur-east-mumbai-pdpid-4d4235343235373633
"3 BHK Apartment for Sale in The Gateway, Sewri Mumbai",none,Rs 5.67 Cr ,1258 sqft,Sep '28,https://www.magicbricks.com/the-gateway-sewri-mumbai-pdpid-4d4235343139393737
"2 BHK Apartment for Sale in Sahakar Vista, Dahisar East Mumbai",none,Rs 1.11 Cr ,539 sqft,Jul '26,https://www.magicbricks.com/sahakar-vista-dahisar-east-mumbai-pdpid-4d4235343138313733
"3 BHK Apartment for Sale in Lodha Riservo, Vikhroli West Mumbai",none,Rs 4.17 Cr ,1161 sqft,Sep '28,https://www.magicbricks.com/lodha-riservo-vikhroli-west-mumbai-pdpid-4d4235343230353639
"3 BHK Apartment for Sale in Rustomjee Seasons, Bandra East Mumbai",none,Rs 6.24 Cr ,1004 sqft,Dec '25,https://www.magicbricks.com/rustomjee-seasons-bandra-east-mumbai-pdpid-4d4235303237323636
"2 BHK Apartment for Sale in DEM Phoenix, Malad East Mumbai",none,Rs 1.26 Cr ,600 sqft,Oct '25,https://www.magicbricks.com/dem-phoenix-malad-east-mumbai-pdpid-4d4235333936333131
"3 BHK Apartment for Sale in Sunteck Beach Residences, Vasai West Mumbai",none,Rs 1.18 Cr ,785 sqft,Dec '27,https://www.magicbricks.com/sunteck-beach-residences-vasai-west-mumbai-pdpid-4d4235333332343239
"3 BHK Apartment for Sale in Lodha Riservo, Vikhroli West Mumbai",none,Rs 3.21 Cr ,894 sqft,Sep '28,https://www.magicbricks.com/lodha-riservo-vikhroli-west-mumbai-pdpid-4d4235343230353639
"3 BHK Apartment for Sale in Sunteck Sky Park, Mira Bhayandar Road Mumbai",none,Rs 1.90 Cr ,1051 sqft,Dec '28,https://www.magicbricks.com/sunteck-sky-park-mira-bhayandar-road-mumbai-pdpid-4d4235333938303139
"3 BHK Apartment for Sale in Veena Insignia, Andheri West Mumbai",none,Rs 4.49 Cr ,999 sqft,Mar '28,https://www.magicbricks.com/veena-insignia-andheri-west-mumbai-pdpid-4d4235343238303033
"2 BHK Apartment for Sale in 73 East, Kandivali West Mumbai",none,Rs 2.17 Cr ,818 sqft,Dec '25,https://www.magicbricks.com/73-east-kandivali-west-mumbai-pdpid-4d4235313135313331
"3 BHK Apartment for Sale in Chandak Treesourus, Malad West Mumbai",none,Rs 3.30 Cr ,1068 sqft,Dec '28,https://www.magicbricks.com/chandak-treesourus-malad-west-mumbai-pdpid-4d4235343037383939
"3 BHK Apartment for Sale in Right Channel Tower 28, Malad East Mumbai",none,Rs 2.17 Cr ,897 sqft,Dec '27,https://www.magicbricks.com/right-channel-tower-28-malad-east-mumbai-pdpid-4d4235303932323535
"2 BHK Apartment for Sale in Shubhyuvi Paradigm Anantaara, Borivali West Mumbai",none,Rs 2.33 Cr ,800 sqft,Dec '28,https://www.magicbricks.com/shubhyuvi-paradigm-anantaara-borivali-west-mumbai-pdpid-4d4235343137363031
"3 BHK Apartment for Sale in Birla Niyaara, Worli Mumbai",none,Rs 11.51 Cr ,1151 sqft,Dec '28,https://www.magicbricks.com/birla-niyaara-worli-mumbai-pdpid-4d4235333234353131
